corner,offset,vimax,vimin
0,1.32e-03,2.81e+00,4.70e-02
1,1.47e-03,2.85e+00,4.85e-02
2,1.88e-03,2.94e+00,5.25e-02
3,1.32e-03,2.81e+00,4.70e-02
4,1.47e-03,2.85e+00,4.85e-02
5,1.88e-03,2.94e+00,5.25e-02
6,1.32e-03,2.81e+00,4.70e-02
7,1.47e-03,2.85e+00,4.85e-02
8,1.88e-03,2.94e+00,5.25e-02
9,1.32e-03,2.47e+00,4.59e-02
10,1.48e-03,2.51e+00,4.69e-02
11,1.90e-03,2.60e+00,4.99e-02
12,1.32e-03,2.47e+00,4.59e-02
13,1.48e-03,2.51e+00,4.69e-02
14,1.90e-03,2.60e+00,4.99e-02
15,1.32e-03,2.47e+00,4.59e-02
16,1.48e-03,2.51e+00,4.69e-02
17,1.90e-03,2.60e+00,4.99e-02
18,1.29e-03,2.14e+00,4.57e-02
19,1.47e-03,2.18e+00,4.62e-02
20,1.91e-03,2.27e+00,4.84e-02
21,1.29e-03,2.14e+00,4.57e-02
22,1.47e-03,2.18e+00,4.62e-02
23,1.91e-03,2.27e+00,4.84e-02
24,1.29e-03,2.14e+00,4.57e-02
25,1.47e-03,2.18e+00,4.62e-02
26,1.91e-03,2.27e+00,4.84e-02
27,1.00e-03,2.79e+00,3.48e-02
28,1.13e-03,2.80e+00,3.82e-02
29,1.44e-03,2.85e+00,4.77e-02
30,1.00e-03,2.79e+00,3.48e-02
31,1.13e-03,2.80e+00,3.82e-02
32,1.44e-03,2.85e+00,4.77e-02
33,1.00e-03,2.79e+00,3.48e-02
34,1.13e-03,2.80e+00,3.82e-02
35,1.44e-03,2.85e+00,4.77e-02
36,9.91e-04,2.45e+00,3.54e-02
37,1.12e-03,2.46e+00,3.81e-02
38,1.43e-03,2.51e+00,4.68e-02
39,9.91e-04,2.45e+00,3.54e-02
40,1.12e-03,2.46e+00,3.81e-02
41,1.43e-03,2.51e+00,4.68e-02
42,9.91e-04,2.45e+00,3.54e-02
43,1.12e-03,2.46e+00,3.81e-02
44,1.43e-03,2.51e+00,4.68e-02
45,9.57e-04,2.11e+00,3.69e-02
46,1.09e-03,2.12e+00,3.89e-02
47,1.39e-03,2.17e+00,4.63e-02
48,9.57e-04,2.11e+00,3.69e-02
49,1.09e-03,2.12e+00,3.89e-02
50,1.39e-03,2.17e+00,4.63e-02
51,9.57e-04,2.11e+00,3.69e-02
52,1.09e-03,2.12e+00,3.89e-02
53,1.39e-03,2.17e+00,4.63e-02
54,8.06e-04,2.80e+00,2.75e-02
55,9.27e-04,2.81e+00,2.78e-02
56,1.17e-03,2.85e+00,3.46e-02
57,8.06e-04,2.80e+00,2.75e-02
58,9.27e-04,2.81e+00,2.78e-02
59,1.17e-03,2.85e+00,3.46e-02
60,8.06e-04,2.80e+00,2.75e-02
61,9.27e-04,2.81e+00,2.78e-02
62,1.17e-03,2.85e+00,3.46e-02
63,7.80e-04,2.46e+00,2.89e-02
64,9.07e-04,2.47e+00,2.89e-02
65,1.16e-03,2.51e+00,3.48e-02
66,7.80e-04,2.46e+00,2.89e-02
67,9.07e-04,2.47e+00,2.89e-02
68,1.16e-03,2.51e+00,3.48e-02
69,7.80e-04,2.46e+00,2.89e-02
70,9.07e-04,2.47e+00,2.89e-02
71,1.16e-03,2.51e+00,3.48e-02
72,7.38e-04,2.12e+00,3.15e-02
73,8.70e-04,2.13e+00,3.08e-02
74,1.13e-03,2.17e+00,3.57e-02
75,7.38e-04,2.12e+00,3.15e-02
76,8.70e-04,2.13e+00,3.08e-02
77,1.13e-03,2.17e+00,3.57e-02
78,7.38e-04,2.12e+00,3.15e-02
79,8.70e-04,2.13e+00,3.08e-02
80,1.13e-03,2.17e+00,3.57e-02
81,1.65e-03,2.55e+00,3.87e-02
82,1.82e-03,2.59e+00,4.02e-02
83,2.26e-03,2.68e+00,4.52e-02
84,1.65e-03,2.55e+00,3.87e-02
85,1.82e-03,2.59e+00,4.02e-02
86,2.26e-03,2.68e+00,4.52e-02
87,1.65e-03,2.55e+00,3.87e-02
88,1.82e-03,2.59e+00,4.02e-02
89,2.26e-03,2.68e+00,4.52e-02
90,1.60e-03,2.22e+00,3.93e-02
91,1.78e-03,2.26e+00,4.06e-02
