corner,srpos,srneg,sr
0,2.39e+07,3.72e+07,3.05e+07
1,2.57e+07,3.72e+07,3.15e+07
2,2.94e+07,3.72e+07,3.33e+07
3,2.39e+07,3.72e+07,3.05e+07
4,2.57e+07,3.72e+07,3.15e+07
5,2.94e+07,3.72e+07,3.33e+07
6,2.39e+07,3.72e+07,3.05e+07
7,2.57e+07,3.72e+07,3.15e+07
8,2.94e+07,3.72e+07,3.33e+07
9,2.10e+07,3.46e+07,2.78e+07
10,2.25e+07,3.61e+07,2.93e+07
11,2.58e+07,3.74e+07,3.16e+07
12,2.10e+07,3.46e+07,2.78e+07
13,2.25e+07,3.61e+07,2.93e+07
14,2.58e+07,3.74e+07,3.16e+07
15,2.10e+07,3.46e+07,2.78e+07
16,2.25e+07,3.61e+07,2.93e+07
17,2.58e+07,3.74e+07,3.16e+07
18,1.79e+07,3.32e+07,2.55e+07
19,1.91e+07,3.49e+07,2.70e+07
20,2.21e+07,3.64e+07,2.92e+07
21,1.79e+07,3.32e+07,2.55e+07
22,1.91e+07,3.49e+07,2.70e+07
23,2.21e+07,3.64e+07,2.92e+07
24,1.79e+07,3.32e+07,2.55e+07
25,1.91e+07,3.49e+07,2.70e+07
26,2.21e+07,3.64e+07,2.92e+07
27,7.35e+06,1.62e+07,1.18e+07
28,1.08e+07,2.19e+07,1.64e+07
29,1.97e+07,3.44e+07,2.70e+07
30,7.35e+06,1.62e+07,1.18e+07
31,1.08e+07,2.19e+07,1.64e+07
32,1.97e+07,3.44e+07,2.70e+07
33,7.35e+06,1.62e+07,1.18e+07
34,1.08e+07,2.19e+07,1.64e+07
35,1.97e+07,3.44e+07,2.70e+07
36,6.72e+06,1.35e+07,1.01e+07
37,9.88e+06,1.86e+07,1.42e+07
38,1.79e+07,3.01e+07,2.40e+07
39,6.72e+06,1.35e+07,1.01e+07
40,9.88e+06,1.86e+07,1.42e+07
41,1.79e+07,3.01e+07,2.40e+07
42,6.72e+06,1.35e+07,1.01e+07
43,9.88e+06,1.86e+07,1.42e+07
44,1.79e+07,3.01e+07,2.40e+07
45,5.95e+06,1.06e+07,8.27e+06
46,8.83e+06,1.61e+07,1.25e+07
47,1.60e+07,2.89e+07,2.24e+07
48,5.95e+06,1.06e+07,8.27e+06
49,8.83e+06,1.61e+07,1.25e+07
50,1.60e+07,2.89e+07,2.24e+07
51,5.95e+06,1.06e+07,8.27e+06
52,8.83e+06,1.61e+07,1.25e+07
53,1.60e+07,2.89e+07,2.24e+07
54,0.00e+00,0.00e+00,0.00e+00
55,1.81e+06,4.61e+06,3.21e+06
56,5.73e+06,1.27e+07,9.21e+06
57,0.00e+00,0.00e+00,0.00e+00
58,1.81e+06,4.61e+06,3.21e+06
59,5.73e+06,1.27e+07,9.21e+06
60,0.00e+00,0.00e+00,0.00e+00
61,1.81e+06,4.61e+06,3.21e+06
62,5.73e+06,1.27e+07,9.21e+06
63,0.00e+00,0.00e+00,0.00e+00
64,1.66e+06,3.49e+06,2.57e+06
65,5.28e+06,1.06e+07,7.92e+06
66,0.00e+00,0.00e+00,0.00e+00
67,1.66e+06,3.49e+06,2.57e+06
68,5.28e+06,1.06e+07,7.92e+06
69,0.00e+00,0.00e+00,0.00e+00
70,1.66e+06,3.49e+06,2.57e+06
71,5.28e+06,1.06e+07,7.92e+06
72,0.00e+00,0.00e+00,0.00e+00
73,0.00e+00,0.00e+00,0.00e+00
74,4.80e+06,9.36e+06,7.08e+06
75,0.00e+00,0.00e+00,0.00e+00
76,0.00e+00,0.00e+00,0.00e+00
77,4.80e+06,9.36e+06,7.08e+06
78,0.00e+00,0.00e+00,0.00e+00
79,0.00e+00,0.00e+00,0.00e+00
80,4.80e+06,9.36e+06,7.08e+06
81,2.24e+07,3.72e+07,2.98e+07
82,2.37e+07,3.72e+07,3.05e+07
83,2.70e+07,3.72e+07,3.21e+07
84,2.24e+07,3.72e+07,2.98e+07
85,2.37e+07,3.72e+07,3.05e+07
86,2.70e+07,3.72e+07,3.21e+07
87,2.24e+07,3.72e+07,2.98e+07
88,2.37e+07,3.72e+07,3.05e+07
89,2.70e+07,3.72e+07,3.21e+07
90,1.95e+07,3.70e+07,2.83e+07
91,2.07e+07,3.79e+07,2.93e+07
92,2.36e+07,3.84e+07,3.10e+07
93,1.95e+07,3.70e+07,2.83e+07
94,2.07e+07,3.79e+07,2.93e+07
95,2.36e+07,3.84e+07,3.10e+07
96,1.95e+07,3.70e+07,2.83e+07
97,2.07e+07,3.79e+07,2.93e+07
98,2.36e+07,3.84e+07,3.10e+07
99,1.42e+07,2.89e+07,2.15e+07
100,1.55e+07,3.12e+07,2.34e+07
101,1.87e+07,3.64e+07,2.76e+07
102,1.42e+07,2.89e+07,2.15e+07
103,1.55e+07,3.12e+07,2.34e+07
104,1.87e+07,3.64e+07,2.76e+07
max_srpos,2.94e+07
min_srpos,0.00e+00
max_sr,3.33e+07
min_sr,2.57e+06
